Source,Target,Type,Id,Label,timeset,Weight
179,2706,directed,493,,,1
179,120,directed,494,,,1
179,730,directed,495,,,1
179,11,directed,496,,,2
179,11,directed,497,,,2
179,113,directed,498,,,4
179,58,directed,499,,,1
179,193,directed,500,,,2
179,217,directed,501,,,1
179,1766,directed,502,,,2
179,49,directed,503,,,1
179,1693,directed,504,,,1
179,427,directed,505,,,1
179,348,directed,506,,,2
179,1,directed,507,,,10
179,327,directed,508,,,1
179,521,directed,509,,,1
179,1066,directed,510,,,2
179,248,directed,511,,,2
179,297,directed,512,,,1
179,226,directed,513,,,1
179,604,directed,514,,,1
179,96,directed,515,,,2
179,67,directed,516,,,1
179,103,directed,517,,,1
179,842,directed,518,,,1
179,348,directed,519,,,2
179,1214,directed,520,,,2
181,368,directed,521,,,1
181,5091,directed,522,,,1
182,4219,directed,523,,,1
183,183,directed,524,,,1
184,1186,directed,525,,,1
184,184,directed,526,,,1
186,475,directed,527,,,1
186,5225,directed,528,,,1
188,188,directed,529,,,1
188,184,directed,530,,,1
189,326,directed,531,,,1
190,113,directed,532,,,2
190,224,directed,533,,,2
190,231,directed,534,,,2
190,350,directed,535,,,1
190,94,directed,536,,,1
190,231,directed,537,,,2
190,113,directed,538,,,2
190,67,directed,539,,,1
190,224,directed,540,,,2
190,72,directed,541,,,1
190,2921,directed,542,,,1
191,191,directed,543,,,3
191,191,directed,544,,,3
191,1418,directed,545,,,1
191,191,directed,546,,,3
191,711,directed,547,,,1
192,192,directed,548,,,1
193,193,directed,549,,,4
193,193,directed,550,,,4
193,193,directed,551,,,4
193,193,directed,552,,,4
194,216,directed,553,,,1
196,686,directed,554,,,2
196,196,directed,555,,,2
196,686,directed,556,,,2
196,196,directed,557,,,2
196,211,directed,558,,,1
201,392,directed,559,,,1
201,1742,directed,560,,,1
201,1965,directed,561,,,1
203,136,directed,562,,,1
206,139,directed,563,,,1
206,350,directed,564,,,1
206,60,directed,565,,,1
206,831,directed,566,,,1
207,548,directed,567,,,1
207,4298,directed,568,,,1
208,208,directed,569,,,1
212,237,directed,570,,,1
214,214,directed,571,,,2
214,27,directed,572,,,1
214,214,directed,573,,,2
214,1311,directed,574,,,1
214,1926,directed,575,,,1
214,4711,directed,576,,,1
215,75,directed,577,,,1
215,215,directed,578,,,2
215,994,directed,579,,,1
215,215,directed,580,,,2
216,194,directed,581,,,1
217,585,directed,582,,,1
217,55,directed,583,,,2
217,55,directed,584,,,2
217,571,directed,585,,,1
217,217,directed,586,,,1
225,463,directed,587,,,1
225,472,directed,588,,,1
225,476,directed,589,,,1
225,252,directed,590,,,1
227,666,directed,591,,,1
229,1455,directed,592,,,1
229,5092,directed,593,,,1
231,1445,directed,594,,,1
237,2395,directed,595,,,1
243,243,directed,596,,,1
248,1222,directed,597,,,1
251,94,directed,598,,,1
252,4994,directed,599,,,1
252,5545,directed,600,,,1
252,4436,directed,601,,,1
252,5834,directed,602,,,1
255,680,directed,603,,,1
259,3506,directed,604,,,1
259,4870,directed,605,,,1
259,5274,directed,606,,,1
259,5466,directed,607,,,2
259,5467,directed,608,,,1
259,5466,directed,609,,,2
259,5468,directed,610,,,1
259,5469,directed,611,,,1
261,642,directed,612,,,1
261,509,directed,613,,,1
263,1238,directed,614,,,1
263,263,directed,615,,,1
263,1875,directed,616,,,1
265,265,directed,617,,,4
265,265,directed,618,,,4
265,265,directed,619,,,4
265,265,directed,620,,,4
266,1540,directed,621,,,1
266,2137,directed,622,,,1
266,570,directed,623,,,1
266,2386,directed,624,,,1
266,833,directed,625,,,1
266,16,directed,626,,,1
266,1348,directed,627,,,1
266,1141,directed,628,,,1
266,377,directed,629,,,1
266,112,directed,630,,,1
267,1306,directed,631,,,1
274,65,directed,632,,,1
274,1817,directed,633,,,1
276,29,directed,634,,,1
280,36,directed,635,,,1
283,283,directed,636,,,1
286,656,directed,637,,,1
287,287,directed,638,,,1
289,289,directed,639,,,1
293,293,directed,640,,,1
296,296,directed,641,,,1
301,1144,directed,642,,,1
301,4926,directed,643,,,1
302,1468,directed,644,,,1
305,305,directed,645,,,2
305,305,directed,646,,,2
305,112,directed,647,,,9
305,112,directed,648,,,9
305,112,directed,649,,,9
